team_name;player_name;position;status;match_date;opponent;match_id;competition;shirt_number;source
Paphos FC;Neofytos Michael;0;Substitute;2026-01-28;SK Slavia Prague;659206;UEFA Champions League;93;APIFootball
Paphos FC;Bruno Langa;0;Substitute;2026-01-28;SK Slavia Prague;659206;UEFA Champions League;25;APIFootball
Paphos FC;David Goldar;0;Substitute;2026-01-28;SK Slavia Prague;659206;UEFA Champions League;5;APIFootball
Paphos FC;Georgios Michael;0;Substitute;2026-01-28;SK Slavia Prague;659206;UEFA Champions League;42;APIFootball
Paphos FC;Pedro Caldieraro;0;Substitute;2026-01-28;SK Slavia Prague;659206;UEFA Champions League;87;APIFootball
Kairat Almaty;Rafael Urazbakhtin;;Coach;2026-01-28;Arsenal FC;;UEFA Champions League;;Manual
Kairat Almaty;Temirlan Anarbekov;1;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;77;APIFootball
Kairat Almaty;Aleksandr Shirobokov;2;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;25;APIFootball
Kairat Almaty;Aleksandr Martynovich;3;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;14;APIFootball
Kairat Almaty;Egor Sorokin;4;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;80;APIFootball
Kairat Almaty;Erkin Tapalov;5;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;20;APIFootball
Kairat Almaty;Dan Glazer;6;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;18;APIFootball
Kairat Almaty;Adilet Sadybekov;7;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;6;APIFootball
Kairat Almaty;Luís Mata;8;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;3;APIFootball
Kairat Almaty;Aleksandr Mrynskiy;9;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;24;APIFootball
Kairat Almaty;Edmilson;10;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;26;APIFootball
Kairat Almaty;Jorginho;11;Starting XI;2026-01-28;Arsenal FC;659214;UEFA Champions League;7;APIFootball
Kairat Almaty;Valeriy Gromyko;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;55;APIFootball
Kairat Almaty;Ricardinho;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;99;APIFootball
Kairat Almaty;Lev Kurgin;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;5;APIFootball
Kairat Almaty;Damir Kasabulat;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;4;APIFootball
Kairat Almaty;Ramazan Bagdat;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;89;APIFootball
Kairat Almaty;Danila Buch;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;41;APIFootball
